"ID";"Sex";"Age";"Periods";"MentalDisorder_13";"PhysicalDisorder_14";"DomesticCircumstances_15";"OtherMotive_16"
"0";"T001038";"10000";"1950JJ00";"     197";"      50";"      12";"      75"
"1";"T001038";"10000";"1951JJ00";"       0";"       0";"       0";"       0"
"2";"T001038";"10000";"1952JJ00";"       0";"       0";"       0";"       0"
"3";"T001038";"10000";"1953JJ00";"       0";"       0";"       0";"       0"
"4";"T001038";"10000";"1954JJ00";"       0";"       0";"       0";"       0"
"5";"T001038";"10000";"1955JJ00";"     279";"      63";"       9";"      61"
"6";"T001038";"10000";"1956JJ00";"       0";"       0";"       0";"       0"
"7";"T001038";"10000";"1957JJ00";"     324";"      76";"      15";"      76"
"8";"T001038";"10000";"1958JJ00";"       0";"       0";"       0";"       0"
"9";"T001038";"10000";"1959JJ00";"       0";"       0";"       0";"       0"
"10";"T001038";"10000";"1960JJ00";"       0";"       0";"       0";"       0"
"11";"T001038";"10000";"1961JJ00";"       0";"       0";"       0";"       0"
"12";"T001038";"10000";"1962JJ00";"     306";"      94";"      27";"      84"
"13";"T001038";"10000";"1963JJ00";"       0";"       0";"       0";"       0"
"14";"T001038";"10000";"1964JJ00";"       0";"       0";"       0";"       0"
"15";"T001038";"10000";"1965JJ00";"     383";"      87";"      25";"      66"
"16";"T001038";"10000";"1966JJ00";"       0";"       0";"       0";"       0"
"17";"T001038";"10000";"1967JJ00";"     344";"      79";"      20";"      64"
"18";"T001038";"10000";"1968JJ00";"       0";"       0";"       0";"       0"
"19";"T001038";"10000";"1969JJ00";"     417";"     104";"      22";"      93"
"20";"T001038";"10000";"1970JJ00";"     495";"     113";"      32";"      95"
"21";"T001038";"10000";"1971JJ00";"     536";"     120";"      31";"      86"
"22";"T001038";"10000";"1972JJ00";"     553";"     103";"      33";"      91"
"23";"T001038";"10000";"1973JJ00";"     655";"      51";"      27";"      72"
"24";"T001038";"10000";"1974JJ00";"     628";"      94";"      48";"      86"
"25";"T001038";"10000";"1975JJ00";"     572";"     104";"      51";"      80"
"26";"T001038";"10000";"1976JJ00";"     581";"     100";"      36";"      62"
"27";"T001038";"10000";"1977JJ00";"     591";"      98";"      27";"      64"
"28";"T001038";"10000";"1978JJ00";"     585";"     113";"      45";"      83"
"29";"T001038";"10000";"1979JJ00";"     623";"     123";"      54";"      98"
"30";"T001038";"10000";"1980JJ00";"     693";"     101";"      42";"      87"
"31";"T001038";"10000";"1981JJ00";"     641";"     146";"      62";"      81"
"32";"T001038";"10000";"1982JJ00";"     747";"     107";"      76";"      80"
"33";"T001038";"10000";"1983JJ00";"     811";"      69";"     161";"     155"
"34";"T001038";"10000";"1984JJ00";"     800";"      67";"     191";"     120"
"35";"T001038";"10000";"1985JJ00";"     578";"      79";"     175";"     110"
"36";"T001038";"10000";"1986JJ00";"     570";"      66";"     169";"      65"
"37";"T001038";"10000";"1987JJ00";"     535";"      73";"     123";"      93"
"38";"T001038";"10000";"1988JJ00";"     554";"      68";"     156";"      66"
"39";"T001038";"10000";"1989JJ00";"     696";"      74";"     191";"     127"
"40";"T001038";"10000";"1990JJ00";"     647";"     110";"     181";"     138"
"41";"T001038";"10000";"1991JJ00";"     758";"     118";"     188";"     124"
"42";"T001038";"10000";"1992JJ00";"     810";"      72";"     139";"     124"
"43";"T001038";"10000";"1993JJ00";"     815";"      55";"     173";"     134"
"44";"T001038";"10000";"1994JJ00";"     748";"      90";"     194";"     122"
"45";"T001038";"10000";"1995JJ00";"     580";"     148";"     179";"     191"
"46";"T001038";"10000";"1996JJ00";"     638";"     145";"     147";"     203"
"47";"T001038";"10000";"1997JJ00";"     679";"     118";"     157";"     162"
"48";"T001038";"10000";"1998JJ00";"     659";"     120";"     173";"     178"
"49";"T001038";"10000";"1999JJ00";"     721";"      92";"     154";"     155"
"50";"T001038";"10000";"2000JJ00";"     647";"     105";"     136";"     151"
"51";"T001038";"10000";"2001JJ00";"     651";"     111";"     134";"     143"
"52";"T001038";"10000";"2002JJ00";"     722";"     112";"     170";"     178"
"53";"T001038";"10000";"2003JJ00";"     699";"     105";"     137";"     133"
"54";"T001038";"10000";"2004JJ00";"     704";"     131";"     173";"     182"
"55";"T001038";"10000";"2005JJ00";"     668";"     132";"     184";"     179"
"56";"T001038";"10000";"2006JJ00";"     736";"     136";"     202";"     162"
"57";"T001038";"10000";"2007JJ00";"     636";"      95";"     177";"     172"
"58";"T001038";"10000";"2008JJ00";"     713";"     111";"     189";"     183"
"59";"T001038";"10000";"2009JJ00";"     750";"     109";"     172";"     152"
"60";"T001038";"10000";"2010JJ00";"     719";"      83";"     138";"     119"
"61";"T001038";"10000";"2011JJ00";"     797";"      95";"     151";"     160"
"62";"T001038";"10000";"2012JJ00";"     872";"      91";"     137";"     149"
"63";"T001038";"10000";"2013JJ00";"     890";"     108";"     140";"     135"
"64";"T001038";"10000";"2014JJ00";"     838";"     133";"     155";"     185"
"65";"T001038";"10000";"2015JJ00";"     941";"     126";"     149";"     159"
"66";"T001038";"10000";"2016JJ00";"    1043";"     169";"     136";"     141"
"67";"T001038";"10000";"2017JJ00";"    1089";"     171";"     178";"     151"
"68";"T001038";"10000";"2018JJ00";"    1107";"     153";"     150";"     120"
"69";"T001038";"10000";"2019JJ00";"     970";"     157";"     179";"     194"
"70";"T001038";"10000";"2020JJ00";"    1035";"     110";"     116";"     147"
"71";"T001038";"10000";"2021JJ00";"    1039";"     128";"     115";"     179"
"72";"T001038";"41400";"1950JJ00";"       4";"       0";"       0";"       0"
"73";"T001038";"41400";"1951JJ00";"       0";"       0";"       0";"       0"
"74";"T001038";"41400";"1952JJ00";"       0";"       0";"       0";"       0"
"75";"T001038";"41400";"1953JJ00";"       0";"       0";"       0";"       0"
"76";"T001038";"41400";"1954JJ00";"       0";"       0";"       0";"       0"
"77";"T001038";"41400";"1955JJ00";"       3";"       2";"       0";"       0"
"78";"T001038";"41400";"1956JJ00";"       0";"       0";"       0";"       0"
"79";"T001038";"41400";"1957JJ00";"       4";"       0";"       0";"       0"
"80";"T001038";"41400";"1958JJ00";"       0";"       0";"       0";"       0"
"81";"T001038";"41400";"1959JJ00";"       0";"       0";"       0";"       0"
"82";"T001038";"41400";"1960JJ00";"       0";"       0";"       0";"       0"
"83";"T001038";"41400";"1961JJ00";"       0";"       0";"       0";"       0"
"84";"T001038";"41400";"1962JJ00";"       4";"       0";"       3";"       1"
"85";"T001038";"41400";"1963JJ00";"       0";"       0";"       0";"       0"
"86";"T001038";"41400";"1964JJ00";"       0";"       0";"       0";"       0"
"87";"T001038";"41400";"1965JJ00";"       5";"       0";"       2";"       0"
"88";"T001038";"41400";"1966JJ00";"       0";"       0";"       0";"       0"
"89";"T001038";"41400";"1967JJ00";"      10";"       1";"       2";"       0"
"90";"T001038";"41400";"1968JJ00";"       0";"       0";"       0";"       0"
"91";"T001038";"41400";"1969JJ00";"       9";"       3";"       4";"       0"
"92";"T001038";"41400";"1970JJ00";"      15";"       0";"       2";"       1"
"93";"T001038";"41400";"1971JJ00";"      14";"       0";"       2";"       3"
"94";"T001038";"41400";"1972JJ00";"      17";"       0";"       0";"       1"
"95";"T001038";"41400";"1973JJ00";"      16";"       1";"       0";"       2"
"96";"T001038";"41400";"1974JJ00";"      20";"       0";"       3";"       4"
"97";"T001038";"41400";"1975JJ00";"      21";"       0";"       1";"       2"
"98";"T001038";"41400";"1976JJ00";"       9";"       0";"       0";"       0"
"99";"T001038";"41400";"1977JJ00";"      15";"       0";"       1";"       0"
"100";"T001038";"41400";"1978JJ00";"      14";"       1";"       4";"       0"
"101";"T001038";"41400";"1979JJ00";"       8";"       1";"       3";"       1"
"102";"T001038";"41400";"1980JJ00";"      14";"       0";"       0";"       1"
"103";"T001038";"41400";"1981JJ00";"       5";"       1";"       3";"       2"
"104";"T001038";"41400";"1982JJ00";"      21";"       0";"       3";"       3"
"105";"T001038";"41400";"1983JJ00";"      10";"       1";"       6";"       1"
"106";"T001038";"41400";"1984JJ00";"      14";"       0";"       9";"       0"
