"ID";"Sex";"Age";"Periods";"TotalSuicides_1";"Unmarried_2";"Married_3";"Widowed_4";"Divorced_5";"HangingStrangulation_6";"DrugsMedicinesAlcohol_7";"TrainMetro_8";"Drowning_9";"JumpingFromHeight_10"
"0";"T001038";"10000";"1950JJ00";"     559";"     145";"     275";"     118";"      21";"     222";"      34";"";"      94";"      18"
"1";"T001038";"10000";"1951JJ00";"     618";"     159";"     328";"     121";"      10";"     238";"      30";"";"     128";"      14"
"2";"T001038";"10000";"1952JJ00";"     655";"     167";"     339";"     127";"      22";"     267";"      30";"";"     108";"      18"
"3";"T001038";"10000";"1953JJ00";"     684";"     172";"     354";"     138";"      20";"     258";"      26";"";"     145";"      14"
"4";"T001038";"10000";"1954JJ00";"     663";"     165";"     359";"     122";"      17";"     271";"      31";"";"     105";"      12"
"5";"T001038";"10000";"1955JJ00";"     650";"     153";"     350";"     131";"      16";"     239";"      35";"";"     137";"      20"
"6";"T001038";"10000";"1956JJ00";"     651";"     153";"     349";"     126";"      23";"     262";"      21";"";"     136";"      16"
"7";"T001038";"10000";"1957JJ00";"     705";"     155";"     368";"     162";"      20";"     263";"      31";"";"     154";"      19"
"8";"T001038";"10000";"1958JJ00";"     760";"     169";"     403";"     157";"      31";"     265";"      29";"";"     170";"      22"
"9";"T001038";"10000";"1959JJ00";"     794";"     200";"     404";"     165";"      25";"     276";"      35";"";"     165";"      23"
"10";"T001038";"10000";"1960JJ00";"     762";"     175";"     401";"     156";"      30";"     257";"      41";"";"     164";"      18"
"11";"T001038";"10000";"1961JJ00";"     773";"     174";"     424";"     150";"      25";"     279";"      53";"";"     171";"      29"
"12";"T001038";"10000";"1962JJ00";"     778";"     192";"     396";"     163";"      27";"     267";"      71";"";"     153";"      17"
"13";"T001038";"10000";"1963JJ00";"     741";"     201";"     375";"     137";"      28";"     289";"      81";"";"     131";"      24"
"14";"T001038";"10000";"1964JJ00";"     791";"     216";"     399";"     151";"      25";"     277";"      85";"";"     151";"      26"
"15";"T001038";"10000";"1965JJ00";"     850";"     225";"     416";"     182";"      27";"     308";"     107";"";"     169";"      30"
"16";"T001038";"10000";"1966JJ00";"     881";"     230";"     476";"     154";"      21";"     323";"     106";"";"     184";"      28"
"17";"T001038";"10000";"1967JJ00";"     784";"     215";"     393";"     143";"      33";"     291";"     127";"";"     163";"      44"
"18";"T001038";"10000";"1968JJ00";"     803";"     233";"     386";"     151";"      33";"     311";"     145";"";"     159";"      33"
"19";"T001038";"10000";"1969JJ00";"     943";"     249";"     506";"     149";"      39";"     364";"     244";"";"     165";"      50"
"20";"T001038";"10000";"1970JJ00";"    1049";"     272";"     541";"     195";"      41";"     388";"     266";"";"     218";"      50"
"21";"T001038";"10000";"1971JJ00";"    1090";"     293";"     551";"     192";"      54";"     357";"     310";"";"     215";"      51"
"22";"T001038";"10000";"1972JJ00";"    1094";"     286";"     556";"     185";"      67";"     352";"     314";"";"     207";"      59"
"23";"T001038";"10000";"1973JJ00";"    1164";"     336";"     597";"     151";"      80";"     389";"     309";"";"     193";"      86"
"24";"T001038";"10000";"1974JJ00";"    1247";"     321";"     654";"     179";"      93";"     417";"     325";"";"     223";"      98"
"25";"T001038";"10000";"1975JJ00";"    1219";"     359";"     576";"     187";"      97";"     409";"     295";"";"     214";"      95"
"26";"T001038";"10000";"1976JJ00";"    1300";"     363";"     622";"     195";"     120";"     472";"     296";"";"     225";"     107"
"27";"T001038";"10000";"1977JJ00";"    1274";"     378";"     588";"     180";"     128";"     483";"     274";"";"     223";"      93"
"28";"T001038";"10000";"1978JJ00";"    1346";"     394";"     617";"     203";"     132";"     450";"     274";"";"     220";"     127"
"29";"T001038";"10000";"1979JJ00";"    1465";"     394";"     688";"     229";"     154";"     552";"     241";"     120";"     239";"     132"
"30";"T001038";"10000";"1980JJ00";"    1430";"     438";"     636";"     212";"     144";"     522";"     255";"     152";"     232";"     115"
"31";"T001038";"10000";"1981JJ00";"    1431";"     441";"     638";"     215";"     137";"     526";"     247";"     146";"     228";"     114"
"32";"T001038";"10000";"1982JJ00";"    1535";"     459";"     677";"     230";"     169";"     573";"     239";"     160";"     210";"     153"
"33";"T001038";"10000";"1983JJ00";"    1720";"     494";"     782";"     237";"     207";"     627";"     273";"     191";"     239";"     169"
"34";"T001038";"10000";"1984JJ00";"    1782";"     553";"     761";"     252";"     216";"     663";"     289";"     194";"     251";"     172"
"35";"T001038";"10000";"1985JJ00";"    1638";"     557";"     641";"     212";"     228";"     663";"     246";"     182";"     185";"     153"
"36";"T001038";"10000";"1986JJ00";"    1604";"     523";"     649";"     197";"     235";"     630";"     227";"     182";"     192";"     158"
"37";"T001038";"10000";"1987JJ00";"    1616";"     558";"     627";"     205";"     226";"     655";"     230";"     189";"     166";"     136"
"38";"T001038";"10000";"1988JJ00";"    1523";"     499";"     600";"     225";"     199";"     567";"     190";"     184";"     201";"     175"
"39";"T001038";"10000";"1989JJ00";"    1520";"     572";"     544";"     184";"     220";"     573";"     197";"     222";"     167";"     170"
"40";"T001038";"10000";"1990JJ00";"    1450";"     521";"     512";"     208";"     209";"     597";"     150";"     173";"     180";"     162"
"41";"T001038";"10000";"1991JJ00";"    1611";"     591";"     568";"     215";"     237";"     587";"     187";"     181";"     167";"     167"
"42";"T001038";"10000";"1992JJ00";"    1587";"     584";"     579";"     197";"     227";"     586";"     216";"     227";"     180";"     162"
"43";"T001038";"10000";"1993JJ00";"    1555";"     585";"     540";"     176";"     254";"     612";"     229";"     200";"     139";"     154"
"44";"T001038";"10000";"1994JJ00";"    1584";"     605";"     593";"     156";"     230";"     650";"     249";"     212";"     149";"     106"
"45";"T001038";"10000";"1995JJ00";"    1511";"     599";"     524";"     139";"     249";"     628";"     241";"     186";"     126";"     131"
"46";"T001038";"10000";"1996JJ00";"    1577";"     598";"     539";"     168";"     272";"     681";"     252";"     160";"     131";"     154"
"47";"T001038";"10000";"1997JJ00";"    1570";"     614";"     512";"     167";"     277";"     680";"     253";"     167";"     132";"     131"
"48";"T001038";"10000";"1998JJ00";"    1519";"     589";"     465";"     174";"     291";"     669";"     241";"     176";"     133";"     106"
"49";"T001038";"10000";"1999JJ00";"    1517";"     607";"     487";"     151";"     272";"     648";"     260";"     164";"     121";"     134"
"50";"T001038";"10000";"2000JJ00";"    1500";"     582";"     512";"     147";"     259";"     647";"     229";"     178";"     146";"     131"
"51";"T001038";"10000";"2001JJ00";"    1473";"     569";"     496";"     135";"     273";"     608";"     236";"     189";"     117";"     137"
"52";"T001038";"10000";"2002JJ00";"    1567";"     629";"     530";"     141";"     267";"     698";"     246";"     168";"     116";"     154"
"53";"T001038";"10000";"2003JJ00";"    1500";"     563";"     491";"     146";"     300";"     686";"     228";"     163";"      97";"     155"
"54";"T001038";"10000";"2004JJ00";"    1514";"     595";"     483";"     131";"     305";"     683";"     256";"     163";"     118";"     133"
"55";"T001038";"10000";"2005JJ00";"    1572";"     641";"     499";"     128";"     304";"     713";"     260";"     177";"     118";"     126"
"56";"T001038";"10000";"2006JJ00";"    1524";"     624";"     480";"     138";"     282";"     693";"     236";"     178";"     107";"     161"
"57";"T001038";"10000";"2007JJ00";"    1353";"     547";"     428";"     117";"     261";"     577";"     243";"     188";"      86";"     114"
"58";"T001038";"10000";"2008JJ00";"    1435";"     600";"     458";"     112";"     265";"     648";"     279";"     156";"      99";"     110"
"59";"T001038";"10000";"2009JJ00";"    1525";"     613";"     488";"     122";"     302";"     677";"     259";"     187";"     104";"     123"
"60";"T001038";"10000";"2010JJ00";"    1600";"     638";"     540";"     136";"     286";"     744";"     258";"     182";"     103";"     139"
"61";"T001038";"10000";"2011JJ00";"    1647";"     690";"     524";"     129";"     304";"     741";"     303";"     205";"     106";"     133"
"62";"T001038";"10000";"2012JJ00";"    1753";"     764";"     554";"     137";"     298";"     807";"     319";"     188";"     125";"     135"
"63";"T001038";"10000";"2013JJ00";"    1857";"     737";"     627";"     149";"     344";"     926";"     305";"     187";"     105";"     136"
"64";"T001038";"10000";"2014JJ00";"    1839";"     768";"     598";"     148";"     325";"     877";"     354";"     181";"     111";"     138"
"65";"T001038";"10000";"2015JJ00";"    1871";"     770";"     553";"     161";"     387";"     859";"     378";"     207";"     112";"     123"
"66";"T001038";"10000";"2016JJ00";"    1893";"     774";"     569";"     164";"     386";"     864";"     386";"     209";"     111";"     147"
"67";"T001038";"10000";"2017JJ00";"    1917";"     866";"     524";"     162";"     365";"     909";"     342";"     213";"     118";"     136"
"68";"T001038";"10000";"2018JJ00";"    1829";"     798";"     544";"     140";"     347";"     833";"     350";"     186";"      97";"     163"
"69";"T001038";"10000";"2019JJ00";"    1811";"     820";"     526";"     161";"     304";"     856";"     315";"     188";"      90";"     139"
"70";"T001038";"10000";"2020JJ00";"    1823";"     834";"     514";"     153";"     322";"     831";"     337";"     180";"      90";"     126"
"71";"T001038";"10000";"2021JJ00";"    1861";"     887";"     496";"     148";"     330";"     862";"     291";"     175";"      89";"     146"
"72";"T001038";"41400";"1950JJ00";"      20";"      20";"       0";"       0";"       0";"      10";"       1";"";"       2";"       0"
"73";"T001038";"41400";"1951JJ00";"      13";"      13";"       0";"       0";"       0";"       8";"       0";"";"       3";"       1"
"74";"T001038";"41400";"1952JJ00";"      11";"      11";"       0";"       0";"       0";"       5";"       0";"";"       0";"       0"
"75";"T001038";"41400";"1953JJ00";"      17";"      16";"       1";"       0";"       0";"       9";"       0";"";"       1";"       1"
"76";"T001038";"41400";"1954JJ00";"      16";"      15";"       1";"       0";"       0";"       9";"       0";"";"       1";"       0"
"77";"T001038";"41400";"1955JJ00";"      10";"      10";"       0";"       0";"       0";"       4";"       0";"";"       2";"       0"
"78";"T001038";"41400";"1956JJ00";"      14";"      14";"       0";"       0";"       0";"       5";"       1";"";"       1";"       0"
"79";"T001038";"41400";"1957JJ00";"      11";"      11";"       0";"       0";"       0";"       9";"       0";"";"       0";"       0"
"80";"T001038";"41400";"1958JJ00";"      15";"      15";"       0";"       0";"       0";"       5";"       0";"";"       2";"       0"
"81";"T001038";"41400";"1959JJ00";"      21";"      21";"       0";"       0";"       0";"       8";"       1";"";"       2";"       0"
"82";"T001038";"41400";"1960JJ00";"      17";"      16";"       1";"       0";"       0";"       6";"       1";"";"       3";"       0"
"83";"T001038";"41400";"1961JJ00";"      13";"      13";"       0";"       0";"       0";"       6";"       2";"";"       0";"       2"
"84";"T001038";"41400";"1962JJ00";"      25";"      25";"       0";"       0";"       0";"      12";"       5";"";"       2";"       0"
"85";"T001038";"41400";"1963JJ00";"      28";"      27";"       1";"       0";"       0";"      10";"       4";"";"       3";"       0"
"86";"T001038";"41400";"1964JJ00";"      31";"      30";"       1";"       0";"       0";"       8";"       4";"";"       2";"       1"
"87";"T001038";"41400";"1965JJ00";"      19";"      19";"       0";"       0";"       0";"       4";"       3";"";"       5";"       0"
